UniProt ID	PDB ID	Coverage	Chain ID	PDB Start	PDB End	Uniprot Start	Uniprot End
Q05901	8a5u	0.477	B	9	215	25	231
P23458	5l04	0.474	A	2	548	31	577
P51617	6bfn	0.473	A	6	342	194	530
P03973	2z7f	0.467	I	1	50	83	132
O00478	5zz3	0.463	A	34	290	328	584
Q7Z7D3	4gos	0.461	A	1	119	30	148
Q15649	5l85	0.458	A	5	75	85	155
O60936	4uz0	0.457	A	1	95	1	95
P04629	7n3t	0.454	A	2	348	36	382
P20936	9bz4	0.446	A	2	468	581	1047
Q15418	3rny	0.444	A	21	346	410	735
P28702	7a78	0.443	A	3	238	298	533
Q96NY8	4frw	0.443	A	1	212	32	243
Q00653	7cli	0.442	A	1	398	1	398
P58400	3b3q	0.431	E	9	190	85	296
Q96JA1	4u7l	0.429	A	2	455	41	494
Q9H0B6	3edt	0.424	B	20	283	217	480
P83916	5t1g	0.422	A	2	79	108	185
Q147X3	7rb3	0.42	A	1	152	211	362
Q9UJY1	8s7a	0.418	A	3	84	87	168
Q01968	3qis	0.406	A	1	366	536	901
Q8TDY2	8srm	0.402	A	1	640	1	640
Q13191	8qtg	0.399	A	3	394	36	427
Q96PU5	5hpk	0.392	A	2	383	594	975
Q16288	6kzd	0.386	A	1	312	528	839
Q86YT6	8v0e	0.384	A	1	386	409	794
Q9C0D3	7ep2	0.384	A	3	288	443	728
P20393	3n00	0.383	A	11	245	281	614
Q8NFA2	2l73	0.383	A	6	149	1	149
Q8IUH3	7csz	0.378	A	22	201	23	202
Q16620	4asz	0.374	A	4	299	527	822
P22894	1bzs	0.369	A	1	165	99	263
Q96PX8	4rca	0.361	B	1	245	20	264
P14866	3to8	0.357	A	9	218	380	589
Q53HL2	6yie	0.357	B	1	100	10	109
Q86UT6	3un9	0.356	A	5	351	629	975
O00198	2l58	0.352	A	1	32	22	53
Q6PJP8	4b87	0.351	A	3	367	676	1040
Q9Y6N9	5f3x	0.351	A	3	196	1	194
O60882	2jsd	0.347	A	1	160	113	272
Q14183	4mjj	0.343	A	2	138	81	217
Q9H422	7o7i	0.333	A	1	404	159	562
Q8WZ73	1y02	0.331	A	1	120	26	145
Q9UQ90	2qz4	0.328	A	2	262	305	565
Q09472	8hag	0.327	K	8	796	1048	1836
Q7Z7L7	7xyt	0.325	A	5	253	518	766
P29536	4z79	0.313	A	1	188	299	486
Q9Y2I1	8esf	0.311	A	35	502	1	468
Q8WU79	2iqj	0.308	A	3	134	1	132
Q9BQF6	3eay	0.308	A	1	323	728	1050
Q96D42	5dzo	0.308	A	2	107	22	127
Q6PRD1	8d1b	0.305	A	1	740	1	740
Q9C0C7	8wqr	0.305	B	1	396	1	1044
Q9UGI8	2xqn	0.299	T	1	126	296	421
Q9Y5Y6	5lyo	0.295	A	14	265	604	855
O00161	3zus	0.294	A	433	494	150	211
Q9UN86	5drv	0.288	A	4	142	1	139
Q08AE8	3r7g	0.288	A	3	220	20	237
P22223	4zmn	0.287	A	1	231	108	338
Q99717	6fzs	0.28	A	3	132	9	138
Q9Y261	7yze	0.274	A	1	125	149	273
Q5FWF5	5t53	0.27	A	1	227	599	825
A0AVK6	4yo2	0.268	A	1	232	110	341
O95243	4ofa	0.267	A	38	192	426	580
Q13206	2pl3	0.267	A	3	236	47	280
O95727	4h5s	0.266	A	2	101	18	117
Q7L273	5bxh	0.265	A	4	106	89	191
O95819	4u3y	0.264	A	3	329	2	328
Q02817	7a5o	0.261	A	1	1377	21	1397
Q12913	7u08	0.26	A	1	338	37	374
O14544	2vif	0.26	A	3	141	361	499
Q99729	3s7r	0.259	A	2	87	59	144
Q9UHQ4	4w7z	0.257	A	3	64	168	229
Q9H9B1	6by9	0.253	A	1	328	672	999
Q14CM0	7byj	0.253	A	5	339	193	527
Q96EK4	2lau	0.252	A	3	81	2	80
O94901	6r2i	0.251	A	7	203	589	785
P20700	7dtg	0.251	A	3	149	407	553
Q9Y6I3	1inz	0.25	A	5	148	1	144
Q5TCY1	4nfm	0.25	A	3	332	14	343
Q15599	2he4	0.249	A	3	86	147	230
Q96A49	1x3a	0.247	A	8	94	130	216
P08138	2n83	0.246	A	1	98	330	427
Q03692	1gr3	0.242	A	1	160	521	680
Q63HQ2	8d1b	0.236	C	1	234	784	1017
Q15697	1y7q	0.236	A	3	98	37	132
Q14004	5efq	0.229	A	2	347	694	1039
Q9NZ09	4ae4	0.227	A	5	118	389	502
Q9H3S7	5mk2	0.221	A	1	361	1	361
Q9BQ04	2dgt	0.22	A	8	86	75	153
P50548	7jsa	0.217	J	5	123	22	140
Q14498	4oz1	0.215	A	2	115	417	530
Q01484	4rlv	0.214	A	65	910	28	873
O95206	6vfv	0.214	A	1	223	490	712
P02452	7e7b	0.213	A	1214	1520	1156	1462
O75113	6q3v	0.208	A	3	188	8	193
Q8NHM5	5jh5	0.208	A	4	281	1059	1336
O95684	2d68	0.206	A	1	82	54	135
Q9Y2C9	4om7	0.205	A	1	157	640	796
P05129	2uzp	0.204	A	3	144	154	295
Q9NQX1	6xaz	0.202	A	4	130	1	127
Q03933	5d8k	0.201	B	3	110	8	115
Q86T24	6dfb	0.199	A	1	134	471	604
Q9BXR5	2j67	0.196	A	24	178	622	776
Q8WV99	1x4v	0.195	A	8	57	93	142
Q9BZC1	2dgp	0.193	A	8	101	48	141
Q96QU1	6n2e	0.189	A	2	371	27	391
Q14678	5ybu	0.185	A	4	253	1080	1329
O00401	2vcp	0.184	D	1	93	392	484
O15230	5xau	0.184	A	2	674	2655	3327
Q7Z7F0	2yqr	0.182	A	8	119	227	338
Q9BTT0	4nft	0.179	E	5	52	185	232
Q6PCT2	6asb	0.177	C	1	123	31	153
Q13009	4k2p	0.172	A	3	276	429	702
Q86VP1	4nlh	0.169	A	6	138	15	147
P54253	1oa8	0.163	A	1	133	561	693
Q15813	4icv	0.161	A	1	85	443	527
Q9UKW4	2d86	0.153	A	8	137	1	130
Q96KN7	4qam	0.152	B	6	201	1091	1286
Q9Y239	4e9m	0.144	A	8	144	2	138
O94813	2v9t	0.143	B	3	216	271	484
Q13017	2ee5	0.141	A	8	219	1245	1456
Q6PD74	7twd	0.14	A	2	45	258	301
Q6ZUM4	3pp2	0.138	A	2	124	491	613
P42768	1ej5	0.137	A	1	69	242	310
Q5JSP0	2coc	0.137	A	8	106	605	703
Q8N2Y8	6if2	0.131	A	7	205	983	1181
Q96HA7	5ja4	0.131	D	1	181	512	692
Q9H334	2kiu	0.129	A	1	87	462	548
O43822	8axr	0.129	A	1	33	213	245
P23471	5awx	0.129	A	3	298	1698	2000
Q99814	3f1p	0.129	A	6	117	239	350
Q96JQ0	8egx	0.129	A	2	421	43	462
Q10587	4u5t	0.129	A	1	39	257	295
Q14160	4wyu	0.128	A	1	212	992	1203
Q8NDI1	6zsi	0.124	C	4	156	1060	1212
Q14247	1x69	0.12	A	8	73	485	550
P59044	6ncv	0.119	A	1	106	1	106
P30414	2he9	0.118	A	20	192	7	179
P07947	2hda	0.116	A	2	64	90	152
Q9HB75	2of5	0.116	H	2	107	778	883
Q96B97	2o2o	0.116	A	10	86	92	168
Q96T51	2yw8	0.116	A	1	82	627	708
Q9UHC6	5y4m	0.113	A	6	152	35	181
Q96MN2	4ewi	0.111	A	3	112	1	110
Q9UPN6	2diw	0.108	A	10	146	1	137
Q96JN8	2e63	0.104	A	8	170	43	205
Q63HR2	3hqc	0.104	A	4	149	1264	1409
Q00872	2dav	0.099	A	8	120	58	170
Q14676	2etx	0.099	A	4	209	1884	2089
Q8WX94	2km6	0.098	A	3	98	1	96
Q7Z6L1	8p5p	0.098	A	3	116	60	173
Q7RTR0	6z2g	0.098	A	3	99	1	97
Q92187	6ahz	0.097	A	1	35	245	279
P02549	5j4o	0.094	A	4	231	1599	1826
P59046	5h7n	0.092	A	374	471	9	106
Q86W24	4n1l	0.091	A	4	103	1	100
Q5VT52	4flb	0.09	A	2	132	19	149
P35590	5n06	0.09	A	21	120	639	738
Q7L2E3	2db2	0.089	A	8	113	42	147
Q6V0I7	8egw	0.087	B	1	467	1	467
Q9UIH9	2ent	0.084	A	8	42	346	380
O95714	7q42	0.084	A	1	405	2938	3342
Q9BSD3	6j8y	0.084	D	1	20	45	64
Q5VZK9	3lk3	0.084	T	1	115	964	1078
O75154	2hv8	0.082	D	3	64	695	756
Q6W2J9	8hcu	0.081	C	1	142	1607	1748
P22670	1dp7	0.078	P	1	76	438	513
Q96T58	4p6q	0.078	A	1	286	335	620
P46939	6m5g	0.076	F	9	269	1	261
Q8NDX5	4pzo	0.072	A	1	75	909	983
Q96RT1	2h3l	0.07	A	5	103	1314	1412
Q969V6	2kvu	0.066	A	15	75	336	396
Q9Y6W5	2a40	0.064	C	1	32	433	464
P63162	8tbp	0.063	E	1	15	65	79
Q9NZM1	2dmh	0.062	A	8	134	1	127
Q96NW7	7qqm	0.06	A	4	95	1445	1536
Q8WXD0	2m96	0.058	A	1	44	38	81
Q5JRA6	7r3m	0.058	A	1	112	20	131
P29966	1iwq	0.057	B	1	19	155	173
Q9GZU2	4bhx	0.057	A	4	94	40	130
Q14055	5ctd	0.056	B	15	71	496	552
O75592	5o6c	0.056	A	2	261	4417	4676
P10451	9eou	0.05	P	1	15	153	168
Q96A83	7bee	0.05	C	2	22	309	329
Q6XZF7	1ug1	0.049	A	8	85	1278	1355
Q9NR96	8ar3	0.049	A	2	50	812	860
Q9BUJ2	1zrj	0.043	A	8	44	1	37
Q9NRQ2	3q5u	0.04	B	1	13	271	283
Q9UPX8	8b10	0.038	A	1	70	1780	1849
Q8WWL2	5jcy	0.038	B	1	27	401	427
Q96PB8	5ema	0.035	B	1	8	252	259
P02538	5ki0	0.034	A	1	19	533	551
Q8WXH0	6xf1	0.033	A	6	230	1425	1649
P11488	3rbq	0.029	G	2	11	2	11
Q9BTC0	4l7x	0.027	A	4	63	266	325
P16401	2rhi	0.022	B	1	5	23	27
P48050	3gj9	0.022	C	1	10	436	445
O15503	4j81	0.018	C	1	5	273	277
Q5VST9	2cr6	0.013	A	8	109	2999	3100
O75128	4pl8	0.012	H	16	30	1092	1106
Q8TD19	3zke	0.011	B	1	11	940	950
P10071	4bld	0.011	E	1	17	328	344
Q8TF61	8s1r	0.008	EaE	2	8	85	91
Q9NX02	9c6v	0.008	A	1	9	323	331
Q9BWN1	____	0.0	_	-1	-1	-1	-1
Q9BXN1	____	0.0	_	-1	-1	-1	-1
O95772	____	0.0	_	-1	-1	-1	-1
O95972	____	0.0	_	-1	-1	-1	-1
Q96EZ8	____	0.0	_	-1	-1	-1	-1
Q9BXJ3	____	0.0	_	-1	-1	-1	-1
P01037	____	0.0	_	-1	-1	-1	-1
P01242	____	0.0	_	-1	-1	-1	-1
Q9BXR6	____	0.0	_	-1	-1	-1	-1
Q96FV0	____	0.0	_	-1	-1	-1	-1
Q9BY71	____	0.0	_	-1	-1	-1	-1
O94769	____	0.0	_	-1	-1	-1	-1
Q96EG3	____	0.0	_	-1	-1	-1	-1
Q9BYR5	____	0.0	_	-1	-1	-1	-1
Q9BYR9	____	0.0	_	-1	-1	-1	-1
Q96AG4	____	0.0	_	-1	-1	-1	-1
Q9C099	____	0.0	_	-1	-1	-1	-1
Q96BF3	____	0.0	_	-1	-1	-1	-1
P01768	____	0.0	_	-1	-1	-1	-1
Q96CD0	____	0.0	_	-1	-1	-1	-1
Q96CN5	____	0.0	_	-1	-1	-1	-1
O75864	____	0.0	_	-1	-1	-1	-1
Q96CQ1	____	0.0	_	-1	-1	-1	-1
Q96CX6	____	0.0	_	-1	-1	-1	-1
Q9BZW7	____	0.0	_	-1	-1	-1	-1
Q96D53	____	0.0	_	-1	-1	-1	-1
O75951	____	0.0	_	-1	-1	-1	-1
Q9BZC7	____	0.0	_	-1	-1	-1	-1
Q96DD0	____	0.0	_	-1	-1	-1	-1
Q96E66	____	0.0	_	-1	-1	-1	-1
Q9BYZ2	____	0.0	_	-1	-1	-1	-1
Q96IG2	____	0.0	_	-1	-1	-1	-1
Q9BYT9	____	0.0	_	-1	-1	-1	-1
Q9BYS8	____	0.0	_	-1	-1	-1	-1
O94898	____	0.0	_	-1	-1	-1	-1
O95389	____	0.0	_	-1	-1	-1	-1
Q96II8	____	0.0	_	-1	-1	-1	-1
O95201	____	0.0	_	-1	-1	-1	-1
O95626	____	0.0	_	-1	-1	-1	-1
Q96NR8	____	0.0	_	-1	-1	-1	-1
O95522	____	0.0	_	-1	-1	-1	-1
Q96P44	____	0.0	_	-1	-1	-1	-1
Q96P53	____	0.0	_	-1	-1	-1	-1
O94933	____	0.0	_	-1	-1	-1	-1
O94991	____	0.0	_	-1	-1	-1	-1
O95196	____	0.0	_	-1	-1	-1	-1
Q96PE1	____	0.0	_	-1	-1	-1	-1
Q9BVA0	____	0.0	_	-1	-1	-1	-1
Q96PJ5	____	0.0	_	-1	-1	-1	-1
Q96QE4	____	0.0	_	-1	-1	-1	-1
O95521	____	0.0	_	-1	-1	-1	-1
Q99767	____	0.0	_	-1	-1	-1	-1
Q99766	____	0.0	_	-1	-1	-1	-1
O95460	____	0.0	_	-1	-1	-1	-1
Q96RW7	____	0.0	_	-1	-1	-1	-1
O95415	____	0.0	_	-1	-1	-1	-1
Q96NB1	____	0.0	_	-1	-1	-1	-1
Q9BRP0	____	0.0	_	-1	-1	-1	-1
O94915	____	0.0	_	-1	-1	-1	-1
Q96MX3	____	0.0	_	-1	-1	-1	-1
Q96IT1	____	0.0	_	-1	-1	-1	-1
Q9BV99	____	0.0	_	-1	-1	-1	-1
Q99645	____	0.0	_	-1	-1	-1	-1
Q96JG8	____	0.0	_	-1	-1	-1	-1
Q9BUY5	____	0.0	_	-1	-1	-1	-1
Q9BUN5	____	0.0	_	-1	-1	-1	-1
Q96JM4	____	0.0	_	-1	-1	-1	-1
Q96K78	____	0.0	_	-1	-1	-1	-1
Q96KV7	____	0.0	_	-1	-1	-1	-1
Q9BU76	____	0.0	_	-1	-1	-1	-1
Q9BTT6	____	0.0	_	-1	-1	-1	-1
Q96LX8	____	0.0	_	-1	-1	-1	-1
Q9BTN0	____	0.0	_	-1	-1	-1	-1
Q96M69	____	0.0	_	-1	-1	-1	-1
Q96MP8	____	0.0	_	-1	-1	-1	-1
Q9BT67	____	0.0	_	-1	-1	-1	-1
Q9BSK4	____	0.0	_	-1	-1	-1	-1
Q96ME1	____	0.0	_	-1	-1	-1	-1
P60372	____	0.0	_	-1	-1	-1	-1
Q9C0I9	____	0.0	_	-1	-1	-1	-1
O00743	____	0.0	_	-1	-1	-1	-1
Q9UGL9	____	0.0	_	-1	-1	-1	-1
Q9UGP8	____	0.0	_	-1	-1	-1	-1
Q9UHJ3	____	0.0	_	-1	-1	-1	-1
O14498	____	0.0	_	-1	-1	-1	-1
O00750	____	0.0	_	-1	-1	-1	-1
Q9UJA2	____	0.0	_	-1	-1	-1	-1
Q9UJT9	____	0.0	_	-1	-1	-1	-1
Q9UJZ1	____	0.0	_	-1	-1	-1	-1
Q9UFC0	____	0.0	_	-1	-1	-1	-1
Q9UK22	____	0.0	_	-1	-1	-1	-1
Q9UK59	____	0.0	_	-1	-1	-1	-1
Q9UKA2	____	0.0	_	-1	-1	-1	-1
Q9UKN1	____	0.0	_	-1	-1	-1	-1
Q9UKT6	____	0.0	_	-1	-1	-1	-1
Q9UKX5	____	0.0	_	-1	-1	-1	-1
A6PVS8	____	0.0	_	-1	-1	-1	-1
O14627	____	0.0	_	-1	-1	-1	-1
O14829	____	0.0	_	-1	-1	-1	-1
O75829	____	0.0	_	-1	-1	-1	-1
Q9P2R3	____	0.0	_	-1	-1	-1	-1
Q9P0J7	____	0.0	_	-1	-1	-1	-1
Q9P0W2	____	0.0	_	-1	-1	-1	-1
Q9P109	____	0.0	_	-1	-1	-1	-1
Q9P1Q0	____	0.0	_	-1	-1	-1	-1
Q9P209	____	0.0	_	-1	-1	-1	-1
Q9P244	____	0.0	_	-1	-1	-1	-1
Q9P2J3	____	0.0	_	-1	-1	-1	-1
Q9P2T0	____	0.0	_	-1	-1	-1	-1
Q9UF33	____	0.0	_	-1	-1	-1	-1
Q9P2V4	____	0.0	_	-1	-1	-1	-1
Q9UBC0	____	0.0	_	-1	-1	-1	-1
O15068	____	0.0	_	-1	-1	-1	-1
Q9UBC7	____	0.0	_	-1	-1	-1	-1
Q9UBM4	____	0.0	_	-1	-1	-1	-1
Q9UBS4	____	0.0	_	-1	-1	-1	-1
O14910	____	0.0	_	-1	-1	-1	-1
Q9ULH4	____	0.0	_	-1	-1	-1	-1
A6NMS7	____	0.0	_	-1	-1	-1	-1
Q9ULX6	____	0.0	_	-1	-1	-1	-1
Q9Y5E3	____	0.0	_	-1	-1	-1	-1
Q9Y3S2	____	0.0	_	-1	-1	-1	-1
Q9Y473	____	0.0	_	-1	-1	-1	-1
Q9Y4C4	____	0.0	_	-1	-1	-1	-1
A3QJZ6	____	0.0	_	-1	-1	-1	-1
Q9Y4R7	____	0.0	_	-1	-1	-1	-1
Q9Y4X4	____	0.0	_	-1	-1	-1	-1
Q9Y546	____	0.0	_	-1	-1	-1	-1
Q9Y5E9	____	0.0	_	-1	-1	-1	-1
A6NM62	____	0.0	_	-1	-1	-1	-1
Q9Y5I3	____	0.0	_	-1	-1	-1	-1
A1KZ92	____	0.0	_	-1	-1	-1	-1
A1A5B4	____	0.0	_	-1	-1	-1	-1
Q9Y5V3	____	0.0	_	-1	-1	-1	-1
Q9Y6A1	____	0.0	_	-1	-1	-1	-1
Q9Y6J8	____	0.0	_	-1	-1	-1	-1
Q9Y6T7	____	0.0	_	-1	-1	-1	-1
A3QJZ7	____	0.0	_	-1	-1	-1	-1
Q9Y3D0	____	0.0	_	-1	-1	-1	-1
A4D1F6	____	0.0	_	-1	-1	-1	-1
Q9Y375	____	0.0	_	-1	-1	-1	-1
A6NM36	____	0.0	_	-1	-1	-1	-1
A6NM11	____	0.0	_	-1	-1	-1	-1
Q9UN76	____	0.0	_	-1	-1	-1	-1
Q9UPM9	____	0.0	_	-1	-1	-1	-1
A6NJW4	____	0.0	_	-1	-1	-1	-1
A6NJI9	____	0.0	_	-1	-1	-1	-1
A6NIV6	____	0.0	_	-1	-1	-1	-1
A6NIK2	____	0.0	_	-1	-1	-1	-1
A6NHZ5	____	0.0	_	-1	-1	-1	-1
Q9Y277	____	0.0	_	-1	-1	-1	-1
A6NGN4	____	0.0	_	-1	-1	-1	-1
Q9Y2L9	____	0.0	_	-1	-1	-1	-1
A6NDA9	____	0.0	_	-1	-1	-1	-1
Q9Y2M2	____	0.0	_	-1	-1	-1	-1
Q9Y2W1	____	0.0	_	-1	-1	-1	-1
Q9NZV1	____	0.0	_	-1	-1	-1	-1
Q9NZU1	____	0.0	_	-1	-1	-1	-1
Q9NZR4	____	0.0	_	-1	-1	-1	-1
Q9HBL6	____	0.0	_	-1	-1	-1	-1
Q9H6B4	____	0.0	_	-1	-1	-1	-1
Q9H707	____	0.0	_	-1	-1	-1	-1
Q9H756	____	0.0	_	-1	-1	-1	-1
Q9H825	____	0.0	_	-1	-1	-1	-1
Q9H9A6	____	0.0	_	-1	-1	-1	-1
Q9HAU8	____	0.0	_	-1	-1	-1	-1
Q9HB03	____	0.0	_	-1	-1	-1	-1
Q9HBX8	____	0.0	_	-1	-1	-1	-1
O60813	____	0.0	_	-1	-1	-1	-1
O75094	____	0.0	_	-1	-1	-1	-1
Q9HBY8	____	0.0	_	-1	-1	-1	-1
Q9HC29	____	0.0	_	-1	-1	-1	-1
O75093	____	0.0	_	-1	-1	-1	-1
Q9HCG7	____	0.0	_	-1	-1	-1	-1
O75069	____	0.0	_	-1	-1	-1	-1
O60938	____	0.0	_	-1	-1	-1	-1
Q9H5Y7	____	0.0	_	-1	-1	-1	-1
Q9H4F8	____	0.0	_	-1	-1	-1	-1
Q9H4B0	____	0.0	_	-1	-1	-1	-1
Q9H469	____	0.0	_	-1	-1	-1	-1
Q9GZU5	____	0.0	_	-1	-1	-1	-1
Q9GZY0	____	0.0	_	-1	-1	-1	-1
O75427	____	0.0	_	-1	-1	-1	-1
O75360	____	0.0	_	-1	-1	-1	-1
Q9H156	____	0.0	_	-1	-1	-1	-1
Q9H1B4	____	0.0	_	-1	-1	-1	-1
O75325	____	0.0	_	-1	-1	-1	-1
Q9H2C2	____	0.0	_	-1	-1	-1	-1
Q9H2I8	____	0.0	_	-1	-1	-1	-1
Q9H310	____	0.0	_	-1	-1	-1	-1
Q9H3H1	____	0.0	_	-1	-1	-1	-1
Q9H3Q1	____	0.0	_	-1	-1	-1	-1
Q9H3Q3	____	0.0	_	-1	-1	-1	-1
Q9H3S1	____	0.0	_	-1	-1	-1	-1
Q9H3W5	____	0.0	_	-1	-1	-1	-1
Q9HCX4	____	0.0	_	-1	-1	-1	-1
O60811	____	0.0	_	-1	-1	-1	-1
Q9NZR1	____	0.0	_	-1	-1	-1	-1
Q9NYA4	____	0.0	_	-1	-1	-1	-1
Q9NW81	____	0.0	_	-1	-1	-1	-1
Q9NW81	____	0.0	_	-1	-1	-1	-1
Q9NWS9	____	0.0	_	-1	-1	-1	-1
O43895	____	0.0	_	-1	-1	-1	-1
O43423	____	0.0	_	-1	-1	-1	-1
Q9NXK8	____	0.0	_	-1	-1	-1	-1
Q9NXR5	____	0.0	_	-1	-1	-1	-1
O43399	____	0.0	_	-1	-1	-1	-1
Q9NPF2	____	0.0	_	-1	-1	-1	-1
O43182	____	0.0	_	-1	-1	-1	-1
Q9NYL9	____	0.0	_	-1	-1	-1	-1
Q9NYP3	____	0.0	_	-1	-1	-1	-1
Q9NYQ7	____	0.0	_	-1	-1	-1	-1
O43167	____	0.0	_	-1	-1	-1	-1
O43155	____	0.0	_	-1	-1	-1	-1
Q9NZQ9	____	0.0	_	-1	-1	-1	-1
O60237	____	0.0	_	-1	-1	-1	-1
O60291	____	0.0	_	-1	-1	-1	-1
Q9NV58	____	0.0	_	-1	-1	-1	-1
Q9NUS5	____	0.0	_	-1	-1	-1	-1
P01906	____	0.0	_	-1	-1	-1	-1
Q9NQ36	____	0.0	_	-1	-1	-1	-1
O60809	____	0.0	_	-1	-1	-1	-1
Q9NQ89	____	0.0	_	-1	-1	-1	-1
O60687	____	0.0	_	-1	-1	-1	-1
Q9NR20	____	0.0	_	-1	-1	-1	-1
Q9NR34	____	0.0	_	-1	-1	-1	-1
O60477	____	0.0	_	-1	-1	-1	-1
O60346	____	0.0	_	-1	-1	-1	-1
O60309	____	0.0	_	-1	-1	-1	-1
Q9NS62	____	0.0	_	-1	-1	-1	-1
Q9NT99	____	0.0	_	-1	-1	-1	-1
Q9NUK0	____	0.0	_	-1	-1	-1	-1
Q9NUL3	____	0.0	_	-1	-1	-1	-1
Q9NUQ3	____	0.0	_	-1	-1	-1	-1
O60810	____	0.0	_	-1	-1	-1	-1
P0C6S8	____	0.0	_	-1	-1	-1	-1
Q96A61	____	0.0	_	-1	-1	-1	-1
Q3KNV8	____	0.0	_	-1	-1	-1	-1
Q5R3F8	____	0.0	_	-1	-1	-1	-1
Q5SQN1	____	0.0	_	-1	-1	-1	-1
Q5SWL7	____	0.0	_	-1	-1	-1	-1
Q5SWL8	____	0.0	_	-1	-1	-1	-1
Q5T0N1	____	0.0	_	-1	-1	-1	-1
Q5T160	____	0.0	_	-1	-1	-1	-1
Q5T5B0	____	0.0	_	-1	-1	-1	-1
Q5TGZ0	____	0.0	_	-1	-1	-1	-1
Q5TYX0	____	0.0	_	-1	-1	-1	-1
Q5U5X0	____	0.0	_	-1	-1	-1	-1
P20916	____	0.0	_	-1	-1	-1	-1
Q5VT98	____	0.0	_	-1	-1	-1	-1
Q5VT99	____	0.0	_	-1	-1	-1	-1
Q5VTA0	____	0.0	_	-1	-1	-1	-1
Q5VTT5	____	0.0	_	-1	-1	-1	-1
Q5VUJ6	____	0.0	_	-1	-1	-1	-1
Q5VWM3	____	0.0	_	-1	-1	-1	-1
Q5QJ74	____	0.0	_	-1	-1	-1	-1
P21291	____	0.0	_	-1	-1	-1	-1
Q5KSL6	____	0.0	_	-1	-1	-1	-1
Q53EV4	____	0.0	_	-1	-1	-1	-1
Q3LI67	____	0.0	_	-1	-1	-1	-1
Q3SXY7	____	0.0	_	-1	-1	-1	-1
P22528	____	0.0	_	-1	-1	-1	-1
P22310	____	0.0	_	-1	-1	-1	-1
Q4ZHG4	____	0.0	_	-1	-1	-1	-1
Q50LG9	____	0.0	_	-1	-1	-1	-1
Q53EL9	____	0.0	_	-1	-1	-1	-1
Q53H96	____	0.0	_	-1	-1	-1	-1
Q5JVS0	____	0.0	_	-1	-1	-1	-1
Q53TQ3	____	0.0	_	-1	-1	-1	-1
Q5BKY1	____	0.0	_	-1	-1	-1	-1
